01_time,01_temp,01_sulf,01_anly,01_yield product
49,45,89,84,0.010504051490635402
49,45,89,84,0.008126279738693688
49,45,89,84,0.012521593940905358
87,95,95,97,0.11648099072705861
87,95,95,97,0.10370301105699899
87,95,95,97,0.10109762585423016
125,95,80,39,0.03251631289563891
125,95,80,39,0.04716958677670995
125,95,80,39,0.02327517219097986
163,145,90,57,0.9390403591013415
163,145,90,57,0.6470364528893267
163,145,90,57,0.8101927813622448
201,145,75,79,0.01790856376214811
201,145,75,79,0.03495859965548199
201,145,75,79,0.025044563043456765
239,95,82,62,0.01946373586147749
239,95,82,62,0.024478326271186977
239,95,82,62,0.04000850122119827
277,45,77,93,0.01914386650126646
277,45,77,93,0.008863978373252878
277,45,77,93,0.01867318100344354
315,95,92,75,0.328833910460171
315,95,92,75,0.28194818094384566
315,95,92,75,0.326257959579788
353,145,94,66,0.9975205116445414
353,145,94,66,0.9971409709953337
353,145,94,66,0.997345127054565
391,145,97,35,0.9978112172030119
391,145,97,35,0.9977866414047663
391,145,97,35,0.9979606859149733
429,45,84,48,0.02110238577538039
429,45,84,48,0.013596396346370243
429,45,84,48,0.03518564927756017
466,45,85,70,0.023444604089696112
466,45,85,70,0.010942131156596304
466,45,85,70,0.00978225964159279
505,45,99,53,0.04276476273527943
505,45,99,53,0.03201950985774247
505,45,99,53,0.02208752626404006
543,145,79,88,0.33561213132791595
543,145,79,88,0.1512542832253486
543,145,79,88,0.155054009588297
581,95,87,44,0.18584100816257365
581,95,87,44,0.17841069433832651
581,95,87,44,0.1456662838135974
