00_time,00_temp,00_sulf,00_anly,00_yieldproduct
49,45,89,84,0.009798626477908412
49,45,89,84,0.007847144345625721
49,45,89,84,0.012064005264167205
87,95,95,97,0.11286951842272695
87,95,95,97,0.10076799665224384
87,95,95,97,0.09806361768417102
125,95,80,39,0.031312608453315516
125,95,80,39,0.04566661607623712
125,95,80,39,0.022565835012016026
163,145,90,57,0.9140848119029754
163,145,90,57,0.6291991027796531
163,145,90,57,0.7897962952954598
201,145,75,79,0.0173051432824824
201,145,75,79,0.0337460775112616
201,145,75,79,0.02432704095882647
239,95,82,62,0.0188485265077614
239,95,82,62,0.02360735734526027
239,95,82,62,0.03868019873649802
277,45,77,93,0.018577465298276627
277,45,77,93,0.008591097988609695
277,45,77,93,0.01800610305075757
315,95,92,75,0.31928006491898475
315,95,92,75,0.2744739031251443
315,95,92,75,0.3168059442986381
353,145,94,66,0.9738137566914685
353,145,94,66,0.9718433509967256
353,145,94,66,0.9732607262218063
391,145,97,35,0.9745763493937444
391,145,97,35,0.9757436556856267
391,145,97,35,0.9743095991915453
429,45,84,48,0.020485191646858827
429,45,84,48,0.013145162206011073
429,45,84,48,0.033977330660546236
466,45,85,70,0.02278747183754896
466,45,85,70,0.01061494527544936
466,45,85,70,0.009442034533803802
505,45,99,53,0.04143502010477071
505,45,99,53,0.031130285983405982
505,45,99,53,0.021381553816289995
543,145,79,88,0.32554877880174965
543,145,79,88,0.1472099185135271
543,145,79,88,0.15043124226753998
581,95,87,44,0.17982601877069485
581,95,87,44,0.17359214122499986
581,95,87,44,0.14150739046525282
