time,temp,sulf,anly,yield product
132,62,93,90,0.0359903251780759
132,62,93,90,0.03365136572242424
132,62,93,90,0.042649929437599716
144,89,84,57,0.05008560672795638
144,89,84,57,0.0500174536996622
144,89,84,57,0.05905233136394252
148,111,82,90,0.04552542053952756
148,111,82,90,0.057134693043781465
148,111,82,90,0.0513601916733578
181,89,98,43,0.18251791925628924
181,89,98,43,0.19051457164097377
181,89,98,43,0.1755270965900611
181,89,94,37,0.11437274550936126
181,89,94,37,0.108656786642665
181,89,94,37,0.07487031221785474
217,89,79,36,0.06504871631960762
217,89,79,36,0.08003528576439
217,89,79,36,0.07708199201083014
271,89,84,69,0.06425390145294395
271,89,84,69,0.0686155754098286
271,89,84,69,0.06305214468535117
299,89,85,86,0.06909070216074116
299,89,85,86,0.07055338692123278
299,89,85,86,0.061140235767096957
343,89,86,81,0.06722764104060637
343,89,86,81,0.07225870795773197
343,89,86,81,0.0715490138124075
346,111,90,39,0.5686134921903402
346,111,90,39,0.4995489635497293
346,111,90,39,0.4769429858117559
347,62,91,44,0.08264568641848709
347,62,91,44,0.08858497350587491
347,62,91,44,0.07803901325956987
405,62,77,61,0.07025266371806049
405,62,77,61,0.07464139316710529
405,62,77,61,0.06153246154855141
495,62,98,39,0.11585131998629022
495,62,98,39,0.1052514575304097
495,62,98,39,0.11967421742462735
530,62,89,51,0.07102954306606489
530,62,89,51,0.11403808343488642
530,62,89,51,0.11584296715053582
594,111,78,97,0.0636073543198524
594,111,78,97,0.07613795653898722
594,111,78,97,0.07127383934749783
